album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],1,6Ax7pMGxl5Tfvjj2ietDnR,A State Of Trance (ASOT 1062) - Intro,spotify:track:6Ax7pMGxl5Tfvjj2ietDnR,0.0104,0.301,0.917,2.70E-06,0.454,-9.663,0.133,137.638,0.452,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],2,4edRxP0vsWOZXPsDMohbUc,A State Of Trance (ASOT 1062) - Coming Up,spotify:track:4edRxP0vsWOZXPsDMohbUc,0.0205,0.547,0.559,0,0.214,-8.615,0.337,88.004,0.801,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],3,1Hiy8QM3hM8EzhdCHwYpNs,Blue (ASOT 1062),spotify:track:1Hiy8QM3hM8EzhdCHwYpNs,0.00252,0.554,0.925,0.000359,0.379,-7.935,0.0405,127.96,0.124,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],4,2Un6O5iU0u5Jxm4Sylp5z9,Zero Gravity (ASOT 1062),spotify:track:2Un6O5iU0u5Jxm4Sylp5z9,0.00902,0.483,0.72,0.0577,0.321,-8.966,0.0913,128.136,0.134,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],5,56d5RjySGAlq1ad4ImMZig,Path Of Light (ASOT 1062) [Future Favorite],spotify:track:56d5RjySGAlq1ad4ImMZig,0.000244,0.592,0.691,0.000942,0.295,-8.421,0.0822,127.984,0.211,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],6,3IZQmNAtljZTrfsVltASVW,Start Again (ASOT 1062),spotify:track:3IZQmNAtljZTrfsVltASVW,0.00286,0.541,0.889,0.000859,0.433,-8.029,0.0413,127.916,0.0512,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],7,75ljbFZNpsQI0GE4Hlos9e,Chasing Stars (ASOT 1062),spotify:track:75ljbFZNpsQI0GE4Hlos9e,0.000262,0.612,0.882,0.0512,0.143,-7.688,0.043,127.948,0.229,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],8,6R9yqh0OwVibXBhfN5JLEv,THE TRUTH (ASOT 1062),spotify:track:6R9yqh0OwVibXBhfN5JLEv,0.00672,0.607,0.931,0.752,0.118,-7.527,0.0466,129.932,0.0398,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],9,2sRVjJK8lVHT2LlHskFFYt,Say It Again (ASOT 1062),spotify:track:2sRVjJK8lVHT2LlHskFFYt,0.117,0.598,0.966,0.926,0.406,-7.975,0.0449,130.107,0.0351,0,Armin Van Buuren
ASOT 1062 - A State Of Trance Episode 1062 [Including Live at Ultra Music Festival Miami 2022 (A State Of Trance Stage) [Highlights])],10,01XBH0j0HSjaWftcLkW3js,"A State Of Trance (ASOT 1062) - Track Recap, Pt. 1",spotify:track:01XBH0j0HSjaWftcLkW3js,0.315,0.69,0.771,0,0.259,-7.742,0.372,129.865,0.654,0,Armin Van Buuren
