album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Get Back (Rooftop Performance),1,4bVT9bpThKnkFtl1xeB2bh,Get Back - Rooftop Performance / Take 1,spotify:track:4bVT9bpThKnkFtl1xeB2bh,0.325,0.628,0.524,0.0995,0.195,-11.84,0.0773,124.176,0.272,57,The Beatles
Get Back (Rooftop Performance),2,4z3RNAUb0whdaLAudM9EHE,Get Back - Rooftop Performance / Take 2,spotify:track:4z3RNAUb0whdaLAudM9EHE,0.101,0.655,0.695,0.436,0.105,-9.648,0.0381,125.572,0.33,67,The Beatles
Get Back (Rooftop Performance),3,6Wjbtcnv4Yw92luvE1Y8tW,Don't Let Me Down - Rooftop Performance / Take 1,spotify:track:6Wjbtcnv4Yw92luvE1Y8tW,0.321,0.592,0.513,0.00017,0.182,-8.778,0.0322,81.92,0.744,58,The Beatles
Get Back (Rooftop Performance),4,06rGbrn3Vhp6CeByhZboOT,I've Got A Feeling - Rooftop Performance / Take 1,spotify:track:06rGbrn3Vhp6CeByhZboOT,0.155,0.392,0.629,0.00699,0.0847,-11.235,0.172,165.416,0.352,57,The Beatles
Get Back (Rooftop Performance),5,4MBeqWnCdIMcEexCNbNqRt,One After 909 - Rooftop Performance,spotify:track:4MBeqWnCdIMcEexCNbNqRt,0.0254,0.521,0.87,1.80E-06,0.622,-8.985,0.237,90.474,0.723,54,The Beatles
Get Back (Rooftop Performance),6,1miMoESDA7rXcNIyiiTeaF,Dig A Pony - Rooftop Performance,spotify:track:1miMoESDA7rXcNIyiiTeaF,0.454,0.49,0.373,4.01E-05,0.117,-12.993,0.0574,116.556,0.346,54,The Beatles
Get Back (Rooftop Performance),7,1fTdIA3TNmiVzWaep1BJ7e,God Save The Queen - Rooftop Performance / Jam,spotify:track:1fTdIA3TNmiVzWaep1BJ7e,0.675,0.676,0.389,0.192,0.0482,-9.622,0.0988,132.388,0.898,11,The Beatles
Get Back (Rooftop Performance),8,51SAMQm9TKtfQnfLR0ORy4,I've Got A Feeling - Rooftop Performance / Take 2,spotify:track:51SAMQm9TKtfQnfLR0ORy4,0.346,0.521,0.532,0.00866,0.234,-11.183,0.0964,81.332,0.313,52,The Beatles
Get Back (Rooftop Performance),9,1DXRq9lDPvNqujisRKR6VA,Don't Let Me Down - Rooftop Performance / Take 2,spotify:track:1DXRq9lDPvNqujisRKR6VA,0.272,0.548,0.489,0.000826,0.328,-10.463,0.0468,81.846,0.605,53,The Beatles
Get Back (Rooftop Performance),10,1W0V3qwghnFsm6DqzwtQ3w,Get Back - Rooftop Performance / Take 3,spotify:track:1W0V3qwghnFsm6DqzwtQ3w,0.0833,0.617,0.633,0.194,0.116,-11.507,0.0819,126.059,0.315,52,The Beatles
Let It Be (Super Deluxe),1,2CEujT1Tuv3jIIjUyUvupg,Two Of Us - 2021 Mix,spotify:track:2CEujT1Tuv3jIIjUyUvupg,0.0356,0.692,0.756,8.80E-05,0.219,-9.677,0.0402,109.111,0.826,54,The Beatles
Let It Be (Super Deluxe),2,5pbQlOzqzTacF4wbzmWEeA,Dig A Pony - 2021 Mix,spotify:track:5pbQlOzqzTacF4wbzmWEeA,0.183,0.461,0.5,9.94E-06,0.209,-8.023,0.0478,118.377,0.393,53,The Beatles
Let It Be (Super Deluxe),3,47q5q2VZ0y264CNDdUAjZY,Across The Universe - 2021 Mix,spotify:track:47q5q2VZ0y264CNDdUAjZY,0.552,0.414,0.467,2.28E-05,0.0779,-9.189,0.027,76.148,0.752,54,The Beatles
Let It Be (Super Deluxe),4,5sFSXKwsf1KvKpZngwVtlI,I Me Mine - 2021 Mix,spotify:track:5sFSXKwsf1KvKpZngwVtlI,0.14,0.423,0.587,0,0.118,-8.14,0.0415,128.47,0.575,53,The Beatles
Let It Be (Super Deluxe),5,211vMasdcN1n4Xy4ci76Eq,Dig It - 2021 Mix,spotify:track:211vMasdcN1n4Xy4ci76Eq,0.452,0.519,0.564,0.00486,0.273,-9.868,0.0742,155.067,0.795,49,The Beatles
Let It Be (Super Deluxe),6,4r797jYkY09ilTg5SMCTnu,Let It Be - 2021 Mix,spotify:track:4r797jYkY09ilTg5SMCTnu,0.332,0.407,0.413,4.49E-06,0.107,-8.129,0.0302,144.338,0.556,55,The Beatles
Let It Be (Super Deluxe),7,6A0igdiVHc0Tftp9jDb5UU,Maggie Mae - 2021 Mix,spotify:track:6A0igdiVHc0Tftp9jDb5UU,0.247,0.525,0.627,0,0.124,-8.052,0.237,169.081,0.76,48,The Beatles
Let It Be (Super Deluxe),8,4zCMgTJ4h916qOHgu1JyAL,I've Got A Feeling - 2021 Mix,spotify:track:4zCMgTJ4h916qOHgu1JyAL,0.11,0.413,0.722,6.04E-06,0.151,-7.463,0.0468,165.614,0.382,54,The Beatles
Let It Be (Super Deluxe),9,6z5yUc4pks98Lo6YaMraq0,One After 909 - 2021 Mix,spotify:track:6z5yUc4pks98Lo6YaMraq0,0.0632,0.545,0.956,0,0.63,-5.549,0.116,90.782,0.776,50,The Beatles
Let It Be (Super Deluxe),10,4r1AmkTzmi35mAFc3nsG3r,The Long And Winding Road - 2021 Mix,spotify:track:4r1AmkTzmi35mAFc3nsG3r,0.82,0.314,0.379,0.00202,0.0852,-10.028,0.0271,66.436,0.319,52,The Beatles
Let It Be (Super Deluxe),11,0CnmMTr6dpvnPUANh3rUOw,For You Blue - 2021 Mix,spotify:track:0CnmMTr6dpvnPUANh3rUOw,0.349,0.854,0.605,0.0789,0.274,-10.995,0.084,128.317,0.929,49,The Beatles
Let It Be (Super Deluxe),12,47qD4mGcc6cS4PbkvoIcy9,Get Back - 2021 Mix,spotify:track:47qD4mGcc6cS4PbkvoIcy9,0.176,0.734,0.656,0.0029,0.665,-10.443,0.0789,123.091,0.366,53,The Beatles
Let It Be (Super Deluxe),1,05wq8YTQE3UDL8yd9R79c7,Morning Camera / Two Of Us - Take 4,spotify:track:05wq8YTQE3UDL8yd9R79c7,0.053,0.718,0.671,0.000611,0.352,-10.5,0.047,107.858,0.762,47,The Beatles
Let It Be (Super Deluxe),2,2rnSCXAsw7pU1dmHkm1XpD,Maggie Mae / Fancy My Chances With You - Mono,spotify:track:2rnSCXAsw7pU1dmHkm1XpD,0.717,0.622,0.544,0,0.101,-7.59,0.071,107.59,0.803,45,The Beatles
Let It Be (Super Deluxe),3,51g1inQV6DC4WZWlGXeFHs,Can You Dig It?,spotify:track:51g1inQV6DC4WZWlGXeFHs,0.215,0.635,0.864,6.43E-06,0.362,-7.495,0.0833,141.355,0.717,45,The Beatles
Let It Be (Super Deluxe),4,482dVVEHxiwirUwW4VjS3s,I Don't Know Why I'm Moaning - Speech / Mono,spotify:track:482dVVEHxiwirUwW4VjS3s,0.916,0.582,0.457,0,0.0771,-14.507,0.322,113.374,0.488,44,The Beatles
Let It Be (Super Deluxe),5,0CVEWNpT3fHxcMPRG3cM2f,For You Blue - Take 4,spotify:track:0CVEWNpT3fHxcMPRG3cM2f,0.24,0.709,0.809,0.0222,0.216,-9.73,0.099,127.789,0.784,44,The Beatles
Let It Be (Super Deluxe),6,15tcqNCx9skvXmmlscpAjF,Let It Be / Please Please Me / Let It Be - Take 10,spotify:track:15tcqNCx9skvXmmlscpAjF,0.905,0.494,0.424,4.76E-05,0.132,-10.874,0.0646,142.038,0.481,47,The Beatles
Let It Be (Super Deluxe),7,6ru78BV9iww37EeTAVd364,I’ve Got A Feeling - Take 10,spotify:track:6ru78BV9iww37EeTAVd364,0.143,0.399,0.622,0.00263,0.119,-7.628,0.0358,81.095,0.306,44,The Beatles
Let It Be (Super Deluxe),8,77LP0NB3rR3g43giL2mGAG,Dig A Pony - Take 14,spotify:track:77LP0NB3rR3g43giL2mGAG,0.661,0.53,0.399,7.58E-06,0.232,-8.978,0.0702,118.441,0.376,43,The Beatles
Let It Be (Super Deluxe),9,2gYbUpAJ4VW8N0YNZJrn6X,Get Back - Take 19,spotify:track:2gYbUpAJ4VW8N0YNZJrn6X,0.439,0.74,0.619,0.0385,0.0634,-10.737,0.0672,121.379,0.633,44,The Beatles
Let It Be (Super Deluxe),10,5i5ccBcPuzKF5T6LLhM22K,Like Making An Album? - Speech,spotify:track:5i5ccBcPuzKF5T6LLhM22K,0.789,0.62,0.18,0,0.134,-18.793,0.562,71.469,0.641,41,The Beatles
Let It Be (Super Deluxe),11,4SxEh486t821JJniUtyNGf,One After 909 - Take 3,spotify:track:4SxEh486t821JJniUtyNGf,0.0451,0.293,0.891,0,0.268,-7.324,0.19,163.566,0.706,43,The Beatles
Let It Be (Super Deluxe),12,40XeGNGFchGYw7y0ue1GiG,Don’t Let Me Down - First Rooftop Performance,spotify:track:40XeGNGFchGYw7y0ue1GiG,0.699,0.455,0.502,0.000156,0.094,-7.539,0.0493,163.347,0.674,66,The Beatles
Let It Be (Super Deluxe),13,2f5DRobJSq0DbuCNqp23KR,The Long And Winding Road - Take 19,spotify:track:2f5DRobJSq0DbuCNqp23KR,0.868,0.516,0.319,0.000101,0.108,-10.031,0.0306,135.137,0.237,43,The Beatles
